center_x,center_y,center_z,psi
-0.24191608045016277,0.9960825378228075,5.198433015129123,0.0
-0.26995249869773374,0.9774575140626318,5.1909830056250525,0.0
-0.29789930310743884,0.9591518732070403,5.183660749282816,0.0
-0.32575539038729184,0.9411685059289314,5.176467402371572,0.0
-0.3535196608266631,0.9235102520104683,5.169404100804187,0.0
-0.38119101833969626,0.9061798998946453,5.162471959957858,0.0
-0.40876837050857695,0.8891801862449618,5.155672074497985,0.0
-0.436250628626663,0.87251379551327,5.149005518205308,0.0
-0.46363670774145715,0.8561833595158697,5.142473343806348,0.0
-0.4909255266974535,0.8401914570179123,5.136076582807165,0.0
-0.5181160081788039,0.8245406133261861,5.129816245330474,0.0
-0.5452070787518566,0.8092332998903409,5.1236933199561365,0.0
-0.5721976689075325,0.7942719339126167,5.117708773565047,0.0
-0.5990867131035476,0.7796588779661384,5.111863551186455,0.0
-0.6258731498064791,0.7653964396218402,5.1061585758487364,0.0
-0.6525559215336711,0.7514868710840719,5.100594748433629,0.0
-0.6791339748949845,0.7379323688349504,5.09517294753398,0.0
-0.7056062606343789,0.7247350732875111,5.089894029315005,0.0
-0.7319717336713452,0.7118970684477062,5.0847588273790825,0.0
-0.7582293531421511,0.6994203815853242,5.07976815263413,0.0
-0.7843780824409405,0.6873069829138547,5.074922793165542,0.0
-0.8104168892606536,0.6755587852793714,5.070223514111748,0.0
-0.8363447456337831,0.6641776438584697,5.065671057543388,0.0
-0.8621606279729548,0.6531653558653145,5.061266142346126,0.0
-0.8878635171113372,0.6425236602678392,5.057009464107136,0.0
-0.9134523983428795,0.6322542375131395,5.052901695005255,0.0
-0.938926261462365,0.6223587092621163,5.048943483704846,0.0
-0.9642841008052963,0.6128386381333928,5.045135455253357,0.0
-0.9895249152875945,0.6036955274565603,5.041478210982624,0.0
-1.014647708445124,0.5949308210347852,5.037972328413914,0.0
-1.0396514884730275,0.5865459029168152,5.034618361166726,0.0
-1.064535268264883,0.5785420971784219,5.031416838871369,0.0
-1.0892980654516728,0.570920667713315,5.028368267085326,0.0
-1.1139389024405615,0.5636828180335574,5.025473127213423,0.0
-1.138456806453502,0.5568296910795167,5.0227318764318065,0.0
-1.1628508095656223,0.5503623690393828,5.020144947615753,0.0
-1.1871199487434487,0.5442818731782784,5.017712749271311,0.0
-1.211263265882922,0.5385891636769866,5.015435665470795,0.0
-1.2352798078472222,0.5332851394803297,5.013314055792132,0.0
-1.2591686265043944,0.5283706381552147,5.011348255262086,0.0
-1.2829287787647816,0.5238464357583719,5.009538574303349,0.0
-1.3065593266182587,0.5197132467138057,5.0078852986855225,0.0
-1.330059337171258,0.515971723699979,5.006388689479992,0.0
